"","site_id","ntaxa","mfd.obs","mfd.rand.mean","mfd.rand.sd","mfd.obs.rank","ses_mfd","p_value","runs"
"122","WJHmh",13,0.523729186877216,0.415938226107957,0.107830647496351,4280,0.9996319531783,0.856,4999
"123","wk3yD",6,0.511292713731101,0.414532033799773,0.110482210968755,4054,0.875803254504854,0.8108,4999
"124","x6lwo",4,0.448374546447661,0.41489712666205,0.10966672482558,2766,0.305265064119087,0.5532,4999
"125","xomGl",7,0.426220792013989,0.412513163600218,0.111345159379519,2309,0.123109333985939,0.4618,4999
"126","XvuFi",6,0.288495880688885,0.414484483205065,0.112045123368982,688,-1.12444521214261,0.1376,4999
"127","YFmep",6,0.44157463401797,0.415233851378374,0.110005676004182,2581,0.239449304766736,0.5162,4999
"128","YgefT",10,0.472586557382877,0.415641053547819,0.107818986910116,3250,0.52815840203109,0.65,4999
"129","yjMQ9",5,0.488289673007307,0.41348986879279,0.111631959516886,3590,0.670057253659529,0.718,4999
"130","yLOw6",8,0.515033546063243,0.414214541443801,0.10862514651289,4178,0.928136880418191,0.8356,4999
"131","yOqkX",4,0.451814282202881,0.413949495942316,0.110755346392758,2804,0.341877728649689,0.5608,4999
"132","Z4sxV",3,0.321869098790742,0.412579921412793,0.109067974479601,904,-0.831690723650657,0.1808,4999
"133","zAo4O",7,0.372616401380633,0.415754668669286,0.10825526190193,1437,-0.398486563431279,0.2874,4999
"134","zAXNf",9,0.397391716562684,0.416215161387884,0.110473430892318,1731,-0.170388886025891,0.3462,4999
"135","zIOo4",3,0.175795513823683,0.413202800260251,0.111471038993422,207,-2.12976651675936,0.0414,4999
"136","zUUAk",8,0.333486817749204,0.412678903251402,0.111825118853722,1021,-0.708177968545596,0.2042,4999
